C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_DAILY,AEMO,PUBLIC,2026/05/21,04:40:00,0000000518641070,,0000000518641068
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/21 00:00:00",7900,0,0,"2026/05/21 00:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/21 00:30:00",7843,0,0,"2026/05/21 00:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/21 01:00:00",7772,0,0,"2026/05/21 01:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/21 01:30:00",7499,0,0,"2026/05/21 01:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/21 02:00:00",7268,0,0,"2026/05/21 02:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/21 02:30:00",7062,0,0,"2026/05/21 02:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/21 03:00:00",6931,0,0,"2026/05/21 03:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/21 03:30:00",6872,0,0,"2026/05/21 03:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/21 04:00:00",6834,0,0,"2026/05/21 04:00:03"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 04:30:00",5608,0,0,"2026/05/20 04:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 05:00:00",5681,0,0,"2026/05/20 05:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 05:30:00",5886,0,0,"2026/05/20 05:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 06:00:00",6082,0,0,"2026/05/20 06:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 06:30:00",6444,0,0,"2026/05/20 06:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 07:00:00",6726,0,0,"2026/05/20 07:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 07:30:00",6722,0,0,"2026/05/20 07:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 08:00:00",6364,0,0,"2026/05/20 08:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 08:30:00",5908,0,0,"2026/05/20 08:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 09:00:00",5484,0,0,"2026/05/20 09:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 09:30:00",5092,0,0,"2026/05/20 09:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 10:00:00",4691,0,0,"2026/05/20 10:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 10:30:00",4431,0,0,"2026/05/20 10:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 11:00:00",4258,0,0,"2026/05/20 11:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 11:30:00",4275,0,0,"2026/05/20 11:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 12:00:00",4149,0,0,"2026/05/20 12:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 12:30:00",4216,0,0,"2026/05/20 12:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 13:00:00",4240,0,0,"2026/05/20 13:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 13:30:00",4377,0,0,"2026/05/20 13:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 14:00:00",4689,0,0,"2026/05/20 14:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 14:30:00",4940,0,0,"2026/05/20 14:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 15:00:00",5373,0,0,"2026/05/20 15:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 15:30:00",5841,0,0,"2026/05/20 15:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 16:00:00",6336,0,0,"2026/05/20 16:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 16:30:00",6735,0,0,"2026/05/20 16:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 17:00:00",7141,0,0,"2026/05/20 17:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 17:30:00",7379,0,0,"2026/05/20 17:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 18:00:00",7558,0,0,"2026/05/20 18:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 18:30:00",7583,0,0,"2026/05/20 18:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 19:00:00",7435,0,0,"2026/05/20 19:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 19:30:00",7295,0,0,"2026/05/20 19:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 20:00:00",7132,0,0,"2026/05/20 20:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 20:30:00",6959,0,0,"2026/05/20 20:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 21:00:00",7014,0,0,"2026/05/20 21:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 21:30:00",6944,0,0,"2026/05/20 21:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 22:00:00",6757,0,0,"2026/05/20 22:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 22:30:00",6579,0,0,"2026/05/20 22:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 23:00:00",6325,0,0,"2026/05/20 23:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/20 23:30:00",6130,0,0,"2026/05/20 23:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/21 00:00:00",6028,0,0,"2026/05/21 00:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/21 00:30:00",5872,0,0,"2026/05/21 00:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/21 01:00:00",5704,0,0,"2026/05/21 01:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/21 01:30:00",5604,0,0,"2026/05/21 01:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/21 02:00:00",5550,0,0,"2026/05/21 02:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/21 02:30:00",5518,0,0,"2026/05/21 02:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/21 03:00:00",5502,0,0,"2026/05/21 03:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/21 03:30:00",5508,0,0,"2026/05/21 03:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/05/21 04:00:00",5517,0,0,"2026/05/21 04:00:03"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 04:30:00",1323,0,0,"2026/05/20 04:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 05:00:00",1298,0,0,"2026/05/20 05:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 05:30:00",1297,0,0,"2026/05/20 05:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 06:00:00",1326,0,0,"2026/05/20 06:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 06:30:00",1358,0,0,"2026/05/20 06:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 07:00:00",1421,0,0,"2026/05/20 07:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 07:30:00",1494,0,0,"2026/05/20 07:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 08:00:00",1599,0,0,"2026/05/20 08:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 08:30:00",1625,0,0,"2026/05/20 08:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 09:00:00",1560,0,0,"2026/05/20 09:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 09:30:00",1437,0,0,"2026/05/20 09:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 10:00:00",1308,0,0,"2026/05/20 10:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 10:30:00",1187,0,0,"2026/05/20 10:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 11:00:00",1174,0,0,"2026/05/20 11:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 11:30:00",1052,0,0,"2026/05/20 11:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 12:00:00",941,0,0,"2026/05/20 12:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 12:30:00",876,0,0,"2026/05/20 12:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 13:00:00",822,0,0,"2026/05/20 13:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 13:30:00",805,0,0,"2026/05/20 13:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 14:00:00",740,0,0,"2026/05/20 14:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 14:30:00",746,0,0,"2026/05/20 14:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 15:00:00",827,0,0,"2026/05/20 15:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 15:30:00",887,0,0,"2026/05/20 15:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 16:00:00",966,0,0,"2026/05/20 16:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 16:30:00",1105,0,0,"2026/05/20 16:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 17:00:00",1310,0,0,"2026/05/20 17:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 17:30:00",1514,0,0,"2026/05/20 17:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 18:00:00",1658,0,0,"2026/05/20 18:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 18:30:00",1740,0,0,"2026/05/20 18:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 19:00:00",1759,0,0,"2026/05/20 19:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 19:30:00",1748,0,0,"2026/05/20 19:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 20:00:00",1714,0,0,"2026/05/20 20:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 20:30:00",1687,0,0,"2026/05/20 20:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 21:00:00",1648,0,0,"2026/05/20 21:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 21:30:00",1630,0,0,"2026/05/20 21:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 22:00:00",1589,0,0,"2026/05/20 22:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 22:30:00",1539,0,0,"2026/05/20 22:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 23:00:00",1483,0,0,"2026/05/20 23:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/20 23:30:00",1438,0,0,"2026/05/20 23:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/21 00:00:00",1442,0,0,"2026/05/21 00:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/21 00:30:00",1462,0,0,"2026/05/21 00:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/21 01:00:00",1475,0,0,"2026/05/21 01:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/21 01:30:00",1444,0,0,"2026/05/21 01:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/21 02:00:00",1414,0,0,"2026/05/21 02:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/21 02:30:00",1379,0,0,"2026/05/21 02:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/21 03:00:00",1353,0,0,"2026/05/21 03:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/21 03:30:00",1329,0,0,"2026/05/21 03:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/05/21 04:00:00",1320,0,0,"2026/05/21 04:00:03"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 04:30:00",1011,0,0,"2026/05/20 04:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 05:00:00",1029,0,0,"2026/05/20 05:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 05:30:00",1040,0,0,"2026/05/20 05:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 06:00:00",1088,0,0,"2026/05/20 06:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 06:30:00",1167,0,0,"2026/05/20 06:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 07:00:00",1246,0,0,"2026/05/20 07:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 07:30:00",1310,0,0,"2026/05/20 07:30:01"
