day_number,day_of_week,count,mae,median_absolute_error,rmse,mape,mean_residual,underprediction_percentage,overprediction_percentage
0,Monday,345.0,60.408602241847824,40.65380859375,86.76967318833748,1.120046035162782,34.7891700634058,64.05797101449275,35.94202898550725
1,Tuesday,336.0,56.28722635904948,36.30078125,80.95110220815765,1.0396346510281982,18.403658185686385,55.654761904761905,44.345238095238095
2,Wednesday,362.0,57.35372739338743,44.348876953125,75.83442188265379,1.0887278417323893,22.265407836239643,64.08839779005525,35.91160220994475
3,Thursday,384.0,64.02151298522949,41.701904296875,98.32695553904877,1.1870127852181833,25.41763750712077,60.15625,39.84375
4,Friday,384.0,60.12642860412598,42.232666015625,83.31675595646112,1.151238144249137,18.18684450785319,61.458333333333336,38.54166666666667
5,Saturday,384.0,52.099945068359375,36.614013671875,74.52608751622,1.0945780439073813,10.794321695963541,55.208333333333336,44.79166666666667
6,Sunday,384.0,57.53493054707845,38.251220703125,84.14890320280634,1.1840226376463228,24.578327814737957,64.84375,35.15625
