month_number,month,count,mae,median_absolute_error,rmse,mape,mean_residual,underprediction_percentage,overprediction_percentage
4,April,1082.0,59.5858388960692,42.2288818359375,85.17267468596006,1.2401721919247506,19.386602997559496,59.24214417744916,40.75785582255083
5,May,1488.0,57.56796642016339,37.8603515625,83.0281536084197,1.0468506383193685,23.997698876165575,62.16397849462365,37.836021505376344
6,June,9.0,17.235026041666668,15.1259765625,21.628277076451468,0.3492845260035344,-12.41015625,22.22222222222222,77.77777777777779
