hour,hour_label,count,mae,median_absolute_error,rmse,mape,mean_residual,underprediction_percentage,overprediction_percentage
0,00:00,108.0,28.37594943576389,24.5625,35.94552827302784,0.5428866658453336,18.57060185185185,75.92592592592592,24.074074074074073
1,01:00,108.0,19.44324634693287,15.641357421875,24.679875778181884,0.39634131197328465,5.214929651331018,56.481481481481474,43.51851851851852
2,02:00,108.0,23.32550726996528,17.883544921875,32.23447042019527,0.5110765963787726,-12.169221100983796,35.18518518518518,64.81481481481481
3,03:00,108.0,22.95770037615741,17.133056640625,35.09192273772669,0.5149287370200312,-0.8588143807870371,44.44444444444444,55.55555555555556
4,04:00,107.0,34.212021301839954,26.83056640625,43.12799927493283,0.777687941112539,-19.8700601452979,28.037383177570092,71.96261682242991
5,05:00,106.0,30.884063144899763,27.173583984375,38.809029996901145,0.6842471371875624,-11.626683649027123,39.62264150943396,60.37735849056604
6,06:00,106.0,37.346564526827834,29.07080078125,46.46942272031624,0.7478730855900233,20.858550449587263,67.9245283018868,32.075471698113205
7,07:00,106.0,113.68151164504717,100.89892578125,135.40432855548508,1.9747796408937743,107.18899248231132,94.33962264150944,5.660377358490567
8,08:00,106.0,92.41801942069576,75.09912109375,111.35587521333875,1.5826591431138282,46.934943433077834,69.81132075471697,30.18867924528302
9,09:00,106.0,87.11040453640919,65.071533203125,116.54527027003174,1.5803388073987894,19.55502607237618,50.943396226415096,49.056603773584904
10,10:00,106.0,82.30329635908019,65.1298828125,106.15128528167972,1.6188625693592307,22.64061118071934,55.660377358490564,44.339622641509436
11,11:00,108.0,112.2042394567419,81.185546875,146.63125909142275,2.3281880960581427,81.0264734338831,73.14814814814815,26.851851851851855
12,12:00,108.0,87.98428457754629,71.559326171875,119.20602816336063,1.9223881695893366,3.81591796875,48.148148148148145,51.85185185185185
13,13:00,108.0,91.58049858940973,76.69677734375,120.45536748953478,2.092587305502301,29.07724338107639,58.333333333333336,41.66666666666667
14,14:00,108.0,86.92248761212385,64.380859375,123.57772255430086,1.8774629070120714,14.045701768663195,60.18518518518518,39.81481481481482
15,15:00,108.0,87.47094048394098,69.33056640625,116.55864162945204,1.8126797344908039,53.79200349030671,70.37037037037037,29.629629629629626
16,16:00,108.0,71.64176884403935,60.918701171875,87.4371096773527,1.3084232023326576,39.432070131655095,70.37037037037037,29.629629629629626
17,17:00,108.0,70.62056025752315,63.96923828125,85.18891428014486,1.1750679353903226,52.36626519097222,83.33333333333334,16.666666666666664
18,18:00,108.0,68.76010923032408,63.27294921875,83.08940445734638,1.059019117426016,37.17985930266204,70.37037037037037,29.629629629629626
19,19:00,108.0,40.5115062572338,31.2099609375,55.63746714803644,0.6334973874293183,-1.6105640552662037,47.22222222222222,52.77777777777778
20,20:00,108.0,46.95488371672454,48.690673828125,56.584432064231656,0.7526161048284299,36.24349410445602,81.48148148148148,18.51851851851852
21,21:00,108.0,61.3364574291088,57.166259765625,70.78819903881006,1.0462544804631146,54.61834038628472,89.81481481481481,10.185185185185185
22,22:00,108.0,38.49237738715278,35.450927734375,48.36432910377394,0.6858409946701857,32.481544777199076,85.18518518518519,14.814814814814813
23,23:00,108.0,29.589595088252313,25.9326171875,37.49162701211228,0.5483627086733247,18.74305103443287,72.22222222222221,27.77777777777778
