rank_test_score,mean_validation_MAE,std_validation_MAE,mean_training_MAE,mean_fit_time,params
11,101.90189743041992,6.817563417745039,10.866799712181091,14.793534398078918,"{'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 0.1, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.8}"
12,102.49166107177734,12.446838111493358,36.983474254608154,5.074040234088898,"{'subsample': 0.8, 'reg_lambda': 10.0, 'reg_alpha': 0.0, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.075, 'gamma': 0.05, 'colsample_bytree': 1.0}"
13,102.98073196411133,7.941295305144341,13.924761056900024,38.72693860530853,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'n_estimators': 900, 'min_child_weight': 7, 'max_depth': 8, 'learning_rate': 0.025, 'gamma': 0.5, 'colsample_bytree': 0.7}"
14,103.21388816833496,5.142959512030332,38.4457221031189,6.564750015735626,"{'subsample': 0.9, 'reg_lambda': 10.0, 'reg_alpha': 0.1, 'n_estimators': 1200, 'min_child_weight': 7, 'max_depth': 3, 'learning_rate': 0.075, 'gamma': 0.05, 'colsample_bytree': 0.7}"
15,103.9486312866211,10.000254013844831,36.1662654876709,12.439972937107086,"{'subsample': 0.8, 'reg_lambda': 2.0, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.025, 'gamma': 0.5, 'colsample_bytree': 0.7}"
16,104.52742004394531,12.149607299271949,31.170363426208496,17.427242517471313,"{'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 0.1, 'n_estimators': 1200, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.025, 'gamma': 0.2, 'colsample_bytree': 1.0}"
17,104.66582298278809,5.692850841905772,39.617846965789795,4.389378070831299,"{'subsample': 0.8, 'reg_lambda': 10.0, 'reg_alpha': 0.01, 'n_estimators': 900, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.05, 'colsample_bytree': 0.7}"
18,104.86054992675781,10.331722592019569,17.991767644882202,30.762276232242584,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'n_estimators': 700, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.025, 'gamma': 0.1, 'colsample_bytree': 0.7}"
19,104.86656379699707,6.478890069212817,46.0132999420166,3.3601043224334717,"{'subsample': 0.9, 'reg_lambda': 10.0, 'reg_alpha': 0.5, 'n_estimators': 500, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.7}"
20,104.98788261413574,7.980197098293614,24.18539261817932,11.246059656143188,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 1.0, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.7}"
21,105.82963752746582,10.576198725088101,25.688008546829224,9.848884522914886,"{'subsample': 0.7, 'reg_lambda': 2.0, 'reg_alpha': 0.5, 'n_estimators': 700, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.05, 'colsample_bytree': 0.7}"
22,106.9626693725586,8.196063044585864,4.609634384512901,35.01165693998337,"{'subsample': 0.7, 'reg_lambda': 5.0, 'reg_alpha': 0.01, 'n_estimators': 1200, 'min_child_weight': 7, 'max_depth': 7, 'learning_rate': 0.075, 'gamma': 0.05, 'colsample_bytree': 0.7}"
23,107.17217063903809,10.99075338444356,14.827174663543701,35.27425104379654,"{'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 0.1, 'n_estimators': 900, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.025, 'gamma': 0.05, 'colsample_bytree': 0.7}"
24,120.01834869384766,22.340497338296753,33.49573230743408,46.0536242723465,"{'subsample': 0.7, 'reg_lambda': 10.0, 'reg_alpha': 0.1, 'n_estimators': 700, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.9}"
25,140.83724403381348,16.42344751335088,76.34131813049316,12.378824651241302,"{'subsample': 0.9, 'reg_lambda': 5.0, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0.0, 'colsample_bytree': 1.0}"
